grupo,categoria,tipo_producto,titulo,pais_revista,revista,ISSN,ano,vol,fasc,pags,DOI,autores,id
CONTAS,Artículos publicados,Publicado en revista especializada,Revisión del cumplimiento del ODS-5 (igualdad de género) en el contexto colombiano,Colombia,Criterio Libre ,1900-0642,2022,20,36 ,1 - 12,10.18041/1900-0642/criteriolibre.2022v20n36.8907,CANDY LORENA CHAMORRO GONZALEZ,1
CONTAS,Artículos publicados,Publicado en revista especializada,Estado actual de la investigación sobre género y contabilidad en Colombia,Colombia,Revista Aglala ,2215-7360,2022,13,1 ,35 - 49,,CANDY LORENA CHAMORRO GONZALEZ,2
CONTAS,Artículos publicados,Publicado en revista especializada,Ética de la autenticidad y ejercicio profesional del contador público,Venezuela,Revista Venezolana de Gerencia ,1315-9984,2022,27,99 ,1196 - 1214,10.52080/rvgluz.27.99.22,MARIA VICTORIA AGUDELO VARGAS,3
CONTAS,Artículos publicados,Publicado en revista especializada,Análisis del Subsidio de Arrendamiento Temporal en la Ciudad de Medellín,Colombia,Visión Contable ,2539-0104,2022,25,01 ,97 - 117,10.24142/rvc.n25a5,FARLEY SARY ROJAS RESTREPO,4
CONTAS,Artículos publicados,Publicado en revista especializada,"framework for a green accounting system-exploratory study in a developing country context, Colombia",Países Bajos,"Environment, Development and Sustainability ",1387-585X,2022,24, ,1 - 25,10.1007/s10668-022-02445-w,CANDY LORENA CHAMORRO GONZALEZ,5
CONTAS,Artículos publicados,Publicado en revista especializada,"La auditoría forense desde una revisión conceptual, metodológica y empírica",Colombia,Visión Contable ,0121-5337,2022,25,25 ,153 - 168,10.24142/rvc.n25a8,MARIELA VELASQUEZ PEREZ,6
CONTAS,Artículos publicados,Publicado en revista especializada,Construyendo la historia entre mujeres contables. Sin brechas a través del mentoring,Colombia,Visión Contable ,0121-5337,2022,25,1 ,1 - 20,10.24142/rvc.n25a6,CANDY LORENA CHAMORRO GONZALEZ,7
CONTAS,Artículos publicados,Publicado en revista especializada,Diagnóstico del modelo de generación de valor como herramienta para la gestión financiera en instituciones prestadoras de servicios de salud privadas de tercer nivel de complejidad en la ciudad de Medellín,Colombia,Apuntes Contables ,2619-4899,2022,20,10 ,167 - 183,10.18601/16577175.n29.10,FARLEY SARY ROJAS RESTREPO,8
CONTAS,Artículos publicados,Publicado en revista especializada,Propuesta de modelo de Revisoría fiscal para cooperativas del sector de transporte terrestre de carga,Colombia,Contaduría Universidad De Antioquia ,0120-4203,2022,80,01 ,187 - 208,10.17533/udea.rc.n80a08,"FARLEY SARY ROJAS RESTREPO, JORGE IVAN JIMENEZ SANCHEZ, DIEGO ALEJANDRO RAMIREZ TAPIAS",9
CONTAS,Artículos publicados,Publicado en revista especializada,"Principales retos de la profesión contable desde las perspectivas económica, digital y científica",Colombia,Visión Contable ,2539-0104,2021,24, ,31 - 57,10.24142/rvc.n24a3,CANDY LORENA CHAMORRO GONZALEZ,10
CONTAS,Artículos publicados,Publicado en revista especializada,Estado actual de la investigación en educación contable en Colombia: una aproximación bibliométrica para el período 2000-2020,Colombia,Teuken Bidikay ,2215-8405,2021,12,19 ,1 - 20,10.33571/teuken.v12n19a6,CANDY LORENA CHAMORRO GONZALEZ,11
CONTAS,Artículos publicados,Publicado en revista especializada,Estudios de género en la disciplina contable: revisión bibliométrica,Venezuela,Revista Venezolana de Gerencia ,1315-9984,2021,26,6 ,82 - 105,10.52080/rvgluz.26.e6.6,CANDY LORENA CHAMORRO GONZALEZ,12
CONTAS,Artículos publicados,Publicado en revista especializada,"Riesgos tributarios, penales y financieros en los contadores públicos y en las empresas por desarrollar una contabilidad creativa",Colombia,Revista En Contexto ,2346-3279,2021,9,15 ,1 - 25,,CANDY LORENA CHAMORRO GONZALEZ,13
CONTAS,Artículos publicados,Publicado en revista especializada,"Formación (en competencias) investigativa(s) en los estudiantes de contaduría pública: caso Universidad del Atlántico, Colombia, 2015-2019",Colombia,Revista Facultad De Ciencias Económicas: Investigación Y Reflexión ,0121-6805,2021,29,2 ,67 - 85,10.18359/rfce.5165,CANDY LORENA CHAMORRO GONZALEZ,14
CONTAS,Artículos publicados,Publicado en revista especializada,Imaginario social del contador público desde las esferas del arte: una aproximación teórica,Colombia,Economicas Cuc ,0120-3932,2021,43,1 ,1 - 1,10.17981/econcuc.43.1.2022.Econ.6,CANDY LORENA CHAMORRO GONZALEZ,15
CONTAS,Artículos publicados,Publicado en revista especializada,Componentes que influyen en la ejecución de fraudes financieros: percepción de los profesionales contables,Colombia,Revista Semestre Econòmico ,2248-4345,2021,24,56 ,105 - 124,10.22395/seec.v24n56a4,CANDY LORENA CHAMORRO GONZALEZ,16
CONTAS,Artículos publicados,Publicado en revista especializada,Eficacia del sistema tributario bajo las pretensiones del legislativo: análisis de los objetivos propuestos en la Ley 1607 de 2012 y la Ley 1819 de 2016,Colombia,Contaduría Universidad De Antioquia ,0120-4203,2021,78,N/A ,205 - 224,10.17533/udea.rc.n78a08,RUBY STELLA CABRERA JARAMILLO,17
CONTAS,Artículos publicados,Publicado en revista especializada,El control interno y las tecnologías de la información en las MIPYMES del oriente antioqueño: estado actual de su implementación y oportunidades de mejora,Colombia,Contaduría Universidad De Antioquia ,0120-4203,2021,78, ,75 - 104,10.17533/udea.rc.n78a03,"CARLOS EDUARDO CASTANO RIOS, JULIAN ESTEBAN ZAMARRA LONDONO, ERIKA JANETH SALAZAR JIMENEZ",18
CONTAS,Artículos publicados,Publicado en revista especializada,Estilos gerenciales en función del empoderamiento de los colaboradores de la organización,Venezuela,Espacios ,0798-1015,2021,42,2 ,25 - 35,,LUZ MERY ORTIZ SANCHEZ,19
CONTAS,Artículos publicados,Publicado en revista especializada,Eficacia Jurídica y Sociológica de la Norma Tributaria en Colombia,Colombia,Verba Iuris ,0121-3474,2021,45,N/A ,147 - 159,10.18041/0121-3474/verbaiuris.45.8351,RUBY STELLA CABRERA JARAMILLO,20
CONTAS,Artículos publicados,Publicado en revista especializada,Acercamiento teórico a la constitucionalidad del sistema tributario colombiano,Colombia,Iusta ,1900-0448,2021,54,N/A ,01 - 28,10.15332/25005286.5984,"RUBY STELLA CABRERA JARAMILLO, SOL BEATRIZ VELEZ ESCOBAR",21
CONTAS,Artículos publicados,Publicado en revista especializada,Competencias genéricas en los programas de Contaduría Pública: el caso de la Universidad del Atlántico entre los periodos 2016 al 2018,Colombia,Contaduría Universidad De Antioquia ,0120-4203,2020,77, ,81 - 107,10.17533/udea.rc.n77a03,CANDY LORENA CHAMORRO GONZALEZ,22
CONTAS,Artículos publicados,Publicado en revista especializada,Formación verde en los programas de Contaduría Pública de las universidades de Antioquia,Colombia,Contaduría Universidad De Antioquia ,0120-4203,2020,77, , - ,10.17533/udea.rc.n77a04,CANDY LORENA CHAMORRO GONZALEZ,23
CONTAS,Artículos publicados,Publicado en revista especializada,Aproximación a la percepción social sobre el sistema tributario colombiano a partir de una revisión teórica,Colombia,Economicas Cuc ,0120-3932,2020,41,2 ,197 - 210,10.17981/econcuc.41.2.2020.Econ.3,RUBY STELLA CABRERA JARAMILLO,24
CONTAS,Artículos publicados,Publicado en revista especializada,Women Accountants in Academic and Research Spaces in Colombia,Estados Unidos,Advances in Public Interest Accounting ,1041-7060,2020,22,N/A ,23 - 34,10.1108/S1041-706020200000022002,CANDY LORENA CHAMORRO GONZALEZ,25
CONTAS,Artículos publicados,Publicado en revista especializada,Jerarquía de valores de los estudiantes de Instituciones de Educación Superior,Venezuela,Revista Venezolana de Gerencia ,1315-9984,2020,N/A, ,195 - 205,10.37960/rvg.v26i93,LUZ MERY ORTIZ SANCHEZ,26
CONTAS,Artículos publicados,Publicado en revista especializada,Aplicaciones móviles para gestión de procesos académicos en educación superior (AMAES),Venezuela,Espacios ,0798-1015,2020,41,28 ,250 - 270,,LUZ MERY ORTIZ SANCHEZ,27
CONTAS,Artículos publicados,Publicado en revista especializada,Green accounting in Colombia: a case study of the mining sector,Bélgica,"Environment, Development and Sustainability ",1573-2975,2020,23,4 ,6453 - 6465,10.1007/s10668-020-00880-1,CANDY LORENA CHAMORRO GONZALEZ,28
CONTAS,Artículos publicados,Publicado en revista especializada,"Aplicación de los criterios de reconocimiento y medición al momento de identificar errores en la propiedad planta y equipo, inventario y deterioro de cartera de acuerdo con la NIC 8 y la sección 10 de la NIIF para pymes",Colombia,Apuntes Contables ,2619-4899,2020,26,2 , - ,10.18601/16577175.n26.11,FARLEY SARY ROJAS RESTREPO,29
CONTAS,Artículos publicados,Publicado en revista especializada,INFORMACIÓN FINANCIERA EN MIPYMES DEL ORIENTE ANTIOQUEÑO (COLOMBIA),Colombia,Criterio Libre ,1900-0642,2020,18,32 ,303 - 327,,"ERIKA JANETH SALAZAR JIMENEZ, CARLOS EDUARDO CASTANO RIOS, JULIAN ESTEBAN ZAMARRA LONDONO",30
CONTAS,Artículos publicados,Publicado en revista especializada,Sistema axiológico de los alumnos del Programa Contaduría Pública de la Universidad Católica Luis Amigó ¿ Medellín ¿ Colombia,Venezuela,Espacios ,0798-1015,2020,41,16 ,12 - 23,,LUZ MERY ORTIZ SANCHEZ,31
CONTAS,Artículos publicados,Publicado en revista especializada,"Análisis del ciclo de liquidez, ciclo de caja y el capital de trabajo neto operativo en los hospitales públicos nivel 2, departamento de Antioquia (Colombia)",Venezuela,Espacios ,0798-1015,2020,41,8 ,8 - 16,,"CANDY LORENA CHAMORRO GONZALEZ, FARLEY SARY ROJAS RESTREPO, DIEGO ALEJANDRO RAMIREZ TAPIAS",32
CONTAS,Artículos publicados,Publicado en revista especializada,Sobre el reconocimiento y la otredad en la escuela: una lectura desde Lévinas y Mélich,Colombia,Perseitas ,2346-1780,2020,8, ,7 - 27,10.21501/23461780.3502,FARLEY SARY ROJAS RESTREPO,33
CONTAS,Artículos publicados,Publicado en revista especializada,Prácticas contables y tributarias que adoptan los pequeños negocios en Colombia,Colombia,Via Inveniendi Et Iudicandi Revista Virtual ,1909-0528,2019,14,1 ,207 - 223,10.15332/s1909-0528.2019.0001.08,RUBY STELLA CABRERA JARAMILLO,34
CONTAS,Artículos publicados,Publicado en revista especializada,El bullying en los escenarios educativos: una posibilidad de repensar el quehacer docente,Venezuela,Espacios ,0798-1015,2018,39,52 ,5 - 14,,FARLEY SARY ROJAS RESTREPO,35
CONTAS,Artículos publicados,Publicado en revista especializada,Sobre la Evaluación Escolar y su Ética,Chile,Informacion Tecnologica ,0718-0764,2018,29,5 ,71 - 80,http://dx.doi.org/10.4067/S0718-07642018000500071,FARLEY SARY ROJAS RESTREPO,36
CONTAS,Artículos publicados,Publicado en revista especializada,Editorial- Construcción de conocimiento científico escolar: una reflexión desde la didáctica sobre enseñanza de las ciencias de la gestión y los estudios organizacionales,Colombia,SCIENCE OF HUMAN ACTION ,2500-669X,2018,03,02 ,1 - 9,https://doi.org/10.21501/issn.2500-669X,"JOHN EDISON CARDONA OCAMPO, MARLON DAVID GARCIA JIMENEZ",37
CONTAS,Artículos publicados,Publicado en revista especializada,La representación contable de los bienes eclesiales en el contexto del marco regulatorio internacional,Venezuela,Espacios ,0798-1015,2018,39,4 ,24 - 36,,JOHN FERNANDO DIOSSA CASTRO,38
CONTAS,Artículos publicados,Publicado en revista especializada,Barreras legales para la introducción del Crowdfunding en Colombia: análisis comparativo con España,Venezuela,Espacios ,0798-1015,2018,39,37 ,8 - ,10.1234/8787,"JORGE IVAN JIMENEZ SANCHEZ, FARLEY SARY ROJAS RESTREPO, DIEGO ALEJANDRO RAMIREZ TAPIAS",39
CONTAS,Artículos publicados,Publicado en revista especializada,Definición de un modelo para la planeación financiera personal aplicado al caso colombiano,Colombia,Revista Ingenierías Universidad De Medellín ,1692-3324,2018,16,31 ,155 - 171,DOI: https://doi.org/10.22395/rium.v16n31a8,"MARIA ELENA VALENCIA CORRALES, MIGUEL DAVID ROJAS LOPEZ",40
CONTAS,Artículos publicados,Publicado en revista especializada,"Efectividad, eficacia y eficiencia en equipos de trabajo",Venezuela,Espacios ,0798-1015,2018,39,6 ,11 - 11,,"MARIA ELENA VALENCIA CORRALES, MIGUEL DAVID ROJAS LOPEZ",41
CONTAS,Artículos publicados,Publicado en revista especializada,Antecedentes nacionales e internacionales sobre didáctica específica de la disciplina contable en el siglo XXI,Colombia,Contexto ,2339-3084,2017,06, ,122 - 134, https://doi.org/10.18634/ctxj.6v.0i.821,MARLON DAVID GARCIA JIMENEZ,42
CONTAS,Artículos publicados,Publicado en revista especializada,Evolución de la contaduría pública en el municipio de Sincelejo-Sucre (1966-2017),Colombia,Revista Aglala ,2215-7360,2017,8,1 ,117 - 138,https://doi.org/10.22519/22157360.1028,"TATIANA MARGARITA MERCADO COVO, ROBERTO LUIS PESTANA ARELLANO, CARLOS EDUARDO CASTANO RIOS",43
CONTAS,Artículos publicados,Publicado en revista especializada,"Incidencia de los microcréditos en la pobreza. Estudio de caso, Chiapas-México y Chocó-Colombia",Venezuela,Espacios ,0798-1015,2017,38,53 ,17 - 17,,MARIA ELENA VALENCIA CORRALES,44
CONTAS,Artículos publicados,Publicado en revista especializada,Aproximación de un framework para el gobierno de información con base en COBIT,Venezuela,Espacios ,0798-1015,2017,38,46 ,3 - 22,,MARIA ELENA VALENCIA CORRALES,46
CONTAS,Artículos publicados,Publicado en revista especializada,Herramienta ¿Gerencia del Valor¿ para el diagnóstico financiero en las Empresas Sociales del Estado,Venezuela,Espacios ,0798-1015,2017,38,23 ,14 - 24,,FARLEY SARY ROJAS RESTREPO,47
CONTAS,Artículos publicados,Publicado en revista especializada,Situación del Crowdfunding como mecanismo para la financiación de PyMEs en Colombia,Venezuela,Espacios ,0798-1015,2017,38,43 ,24 - 36,,FARLEY SARY ROJAS RESTREPO,48
CONTAS,Artículos publicados,Publicado en revista especializada,Experiments based o Berg game about trust,Venezuela,Espacios ,0798-1015,2017,38,34 ,13 - 13,,"MARIA ELENA VALENCIA CORRALES, MIGUEL DAVID ROJAS LOPEZ",49
CONTAS,Artículos publicados,Publicado en revista especializada,Lean construction - LC bajo pensamiento Lean,Colombia,Revista Ingenierías Universidad De Medellín ,1692-3324,2017,16,30 ,115 - 128,10.22395/rium,"MARIA ELENA VALENCIA CORRALES, MIGUEL DAVID ROJAS LOPEZ, MARIANA HENAO GRAJALES",50
CONTAS,Artículos publicados,Publicado en revista especializada,NOT-INVENTED-HERE SYNDROME AND INNOVATION PERFORMANCE: THE CONFOUNDING EFFECT OF INNOVATION CAPABILITIES AS ORGANISATIONAL ROUTINES IN SERVICE FIRMS,Inglaterra,International Journal of Innovation Management ,1363-9196,2017,21, ,1 - 20,10.1142/S1363919617500360,"JOSE ENRIQUE ARIAS PEREZ, GEOVANNY PERDOMO CHARRY, CARLOS EDUARDO CASTANO RIOS",51
CONTAS,Artículos publicados,Publicado en revista especializada,"Teorías, usuarios e informes de Responsabilidad Social Corporativa. Una revisión desde la construcción histórica del Estado.",Argentina,Revista Argentina de Investigación en Negocios ,2422-5282,2017,3,1 , - ,,CARLOS ALBERTO MUNOZ RESTREPO,52
CONTAS,Artículos publicados,Publicado en revista especializada,Optimización racional de los costos,Colombia,Espacios ,0798-1015,2017,38,39 ,8 - 8,,"MARIA ELENA VALENCIA CORRALES, MIGUEL DAVID ROJAS LOPEZ",54
CONTAS,Artículos publicados,Publicado en revista especializada,Visión Integral del Control Interno,Colombia,Contaduría Universidad De Antioquia ,0120-4203,2016,69,69 ,139 - 154,,OLGA PATRICIA VASQUEZ MONTOYA,55
CONTAS,Artículos publicados,Publicado en revista especializada,Reflexiones sobre la investigación contable en Colombia,Colombia,Panorama Económico ,0122-8900,2016,24,N/A ,163 - 174,,CARLOS EDUARDO CASTANO RIOS,56
CONTAS,Artículos publicados,Publicado en revista especializada,APLICACIÓN DE INDUCTORES GENERADORES DE VALOR PARA LA GESTIÓN EN MICROEMPRESAS,Colombia,Revista En Contexto ,2346-3279,2016,5,4 ,99 - 116,,"FARLEY SARY ROJAS RESTREPO, JORGE IVAN JIMENEZ SANCHEZ",57
CONTAS,Artículos publicados,Publicado en revista especializada,PRÁCTICAS PROFESIONALES CONTABLES EN LA EMPRESA PRIVADA COLOMBIANA 1990-2013,Colombia,Revista En Contexto ,2346-3279,2016,4,4 ,159 - 184,,"CARLOS EDUARDO CASTANO RIOS, MAYRA ALEJANDRA CARMONA OLIER, MARIA CLARA MESA PALACIOS, NOEL FERNANDO MUNETON TAMAYO",58
CONTAS,Artículos publicados,Revisión (Survey),"LA LUCHA CONTRA LAS DROGAS: FRACASO DE UNA GUERRA, COMIENZO DE UNA NUEVA POLÍTICA",Colombia,Drugs And Addictive Behavior ,2463-1779,2016,1,2 ,237 - 254,https://doi.org/10.21501/issn.2463-1779,MAURICIO ALEJANDRO BEDOYA JIMENEZ,59
CONTAS,Artículos publicados,Publicado en revista especializada,"Identificación de barreras y oportunidades para el desarrollo de la Ecoeficiencia con aplicación empresarial en Medellín (Colombia): Un estudio de caso desde los actores de la relación Universidad, Empresa, Estado.",Venezuela,Espacios ,0798-1015,2015,36,17 ,1 - 23,,"JUAN MANUEL MONTES HINCAPIE, LISETH GALEANO RUIZ",61
CONTAS,Artículos publicados,Publicado en revista especializada,El Problema De La Medición En Contabilidad. La Influencia De La Teoría De Las Proporciones En La Teneduría De Libros Y En La Contametría,Colombia,Criterio Libre ,1900-0642,2015,23,13 ,243 - 259,N/A,CARLOS ALBERTO MUNOZ RESTREPO,62
CONTAS,Artículos publicados,Publicado en revista especializada,Aproximación a la valoración del know how de una institución del sistema regional de innovación en Antioquia,Colombia,Civilizar ,1657-8953,2015,15,28 ,125 - 138,,"CARLOS EDUARDO CASTANO RIOS, JOSE ENRIQUE ARIAS PEREZ",63
CONTAS,Artículos publicados,Publicado en revista especializada,La Inteligencia Artificial y la contabilidad. Lógica Borrosa y Representación del Conocimiento,Colombia,Lúmina ,0123-4072,2014,15,"NA ",146 - 173,,CARLOS ALBERTO MUNOZ RESTREPO,65
CONTAS,Artículos publicados,Publicado en revista especializada,El riesgo moral en la revisoría fiscal,Colombia,Criterio Libre ,1900-0642,2014,12,20 ,247 - 275,10.18041/1900-0642/criteriolibre.2014v12n20.240,LILIAM BETANCUR JARAMILLO,66
CONTAS,Artículos publicados,Publicado en revista especializada,"Una Critica de la Representación Contable en Perspectiva histórica: del reflejo de la realidad profunda al ""puro simulacro""",Colombia,Revista Científica General José María Córdova ,1900-6586,2013,11,12 ,79 - 96,,"MARIA VICTORIA AGUDELO VARGAS, EDGAR GRACIA LOPEZ, RAFAEL FRANCO RUIZ",67
CONTAS,Artículos publicados,Publicado en revista especializada,Analisis de los aportes de Anthony G Hopwood a la disciplina contable,Colombia,Lúmina ,0123-4072,2013,14,14 ,290 - 315,,MARIA VICTORIA AGUDELO VARGAS,68
CONTAS,Artículos publicados,Publicado en revista especializada,Aportes de la ética de Emmanuel Lévinas para el concepto de responsabilidad social empresarial,Colombia,Revista Virtual Universidad Católica Del Norte ,0124-5821,2013,2013,38 ,16 - 26,N/A,"ELKIN HORACIO QUIROS LIZARAZO, ALEXANDER MARIN LOPEZ",69
CONTAS,Artículos publicados,Publicado en revista especializada,Reflexiones Axiologicas sobre el ejercicio profesional de la contaduría pública,Colombia,Lúmina ,0123-4072,2012,13,N/A ,88 - 104,,MARIA VICTORIA AGUDELO VARGAS,70
CONTAS,Artículos publicados,Publicado en revista especializada,Algunas Practicas contables a inicios del siglo XIX en Antioquia.,Colombia,Ágora Contable ,2248-6003,2011,9,N/A ,7 - 8,,"DIANA CAROLINA MARULANDA VALENCIA, DIANA MARCELA OBANDO SANCHEZ",71
CONTAS,Artículos publicados,Publicado en revista especializada,Vivencias de una Egresada,Colombia,Ágora Contable ,2248-6003,2011,8,N/A ,8 - 8,,DIANA MARCELA OBANDO SANCHEZ,72
CONTAS,Artículos publicados,Publicado en revista especializada,ALGUNAS PRACTICAS CONTABLES EN LA HACIENDA PUBLICA DE ANTIOQUIA DURANTE LOS AÑOS 1800 A 1820,Colombia,Colombian Accounting Journal ,2011-7094,2010,4,4 ,65 - 80,,"DIANA MARCELA OBANDO SANCHEZ, DIANA CAROLINA MARULANDA VALENCIA, LUZ MARINA PINEDA, NURY AIDE ZAPATA",73
CONTAS,Artículos publicados,Publicado en revista especializada,La contaduría pública en Antioquia,Colombia,La Voz Del Semillero ,2011-8015,2010,3,N/A ,25 - 29,,"DIANA MARCELA OBANDO SANCHEZ, DIANA CAROLINA MARULANDA VALENCIA, LUZ MARINA PINEDA, NURY AIDE ZAPATA, EZEQUIEL GUISAO  GUISAO",74
CONTAS,Artículos publicados,Publicado en revista especializada,Capital Social: revision del concepto y propuesta para su re-elaboracion,Colombia,Semestre Económico ,0120-6346,2008,11,21 ,75 - 90,,"ELKIN HORACIO QUIROS LIZARAZO, OLGA LUCIA ARBOLEDA ALVAREZ, ALFREDO MANUEL GHISO COTOS",75
CONTAS,Artículos publicados,Publicado en revista especializada,Organization and social responsibility imaginary concepts,Colombia,Colombian Accounting Journal ,2011-7094,2007,1,1 ,107 - 124,,"ELKIN HORACIO QUIROS LIZARAZO, HERNAN CARLOS BUSTAMANTE GARCIA",76
CONTAS,Artículos publicados,Publicado en revista especializada,"Fundamentación Teórica, Metodológica y Operativa de la línea de Investigación Contabilidad Social y Ambiental.",Colombia,Textos Y Argumentos ,1692-1135,2006,9,N/A ,7 - 63,,ELKIN HORACIO QUIROS LIZARAZO,77
CONTAS,Artículos publicados,Publicado en revista especializada,Imaginarios de organización y responsabilidad social,Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó ,0123-9864,2006,9,14 ,68 - 83,,"ELKIN HORACIO QUIROS LIZARAZO, HERNAN CARLOS BUSTAMANTE GARCIA",78
CONTAS,Artículos publicados,Publicado en revista especializada,Reseña histórica de la facultad de contaduría pública,Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó ,0123-9864,2005,8,11-12 ,80 - 85,,ELKIN HORACIO QUIROS LIZARAZO,79
CONTAS,Artículos publicados,Publicado en revista especializada,La contabilidad ante la problemática de la valoración ambiental,Colombia,Visión Contable ,0121-5337,2004,1,4 ,13 - 31,,"ELKIN HORACIO QUIROS LIZARAZO, LUIS FERNANDA AMELINES VILLA",80
CONTAS,Artículos publicados,Publicado en revista especializada,Responsabilidad social y academia: una mirada desde lo contable,Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó ,0123-9864,2003,6,7-8 ,35 - 39,,ELKIN HORACIO QUIROS LIZARAZO,81
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,"The Christ is Jesus: Metamorphosis, Possession and Johannine Christology de Pamela E. Kinlaw",Colombia,Perseitas ,2346-1780,2022,10, ,1 - 4,10.21501/23461780.4092,JUAN SEBASTIAN HERNANDEZ VALENCIA,82
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Corto (Resumen),Una nueva imagen,Colombia,Revista Colombiana De Ciencias Sociales ,2216-1201,2022,13,1 ,7 - 9,10.21501/22161201.4219,ANDRES ALFREDO CASTRILLON CASTRILLON,83
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,"Frida Kahlo, sobre vestido y cuerpo en psicoanálisis",Colombia,Analisis ,0120-8454,2022,54,100 ,N/A - N/A,10.15332/21459169,KELLY VARGAS GARCIA,84
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Corto (Resumen),Continuidades del imaginario de superioridad,Colombia,Perseitas ,2346-1780,2021,9,N/A ,XXIV - XXVIII ,10.21501/23461780.4213,ANDRES ALFREDO CASTRILLON CASTRILLON,85
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,El humanismo como práctica y discurso esencial en la formación de profesionales,Colombia,Kénosis ,2346-1209,2021,8,15 ,170 - 183,10.47286/23461209.369,HERNAN ANDRES  CARMONA GARZON,86
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,Pesadillas posthumanistas: Frankenstein como caso de estudio,Colombia,Perseitas ,2346-1780,2021,9, ,494 - 509,10.21501/issn.2346-1780,JUAN SEBASTIAN HERNANDEZ VALENCIA,87
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,La inconmensurabilidad kuhniana y las generalizaciones simbólicas: un análisis a partir de la comparación de dos paradigmas teóricos de la física,Colombia,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales ",0370-3908,2021,45,175 ,377 - 386,10.18257/raccefyn.1258,LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ,88
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,Intertextualidades religiosas en El arpa y la sombra de Alejo Carpentier,Colombia,Perseitas ,2346-1780,2021,9, ,142 - 164,10.21501/issn.2346-1780,JUAN ESTEBAN LONDONO BETANCUR,89
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,PEDRO LAÍN ENTRALGO: LA PARÁBOLA DEL SAMARITANO MISERICORDIOSO (Lc 10: 25-37) COMO PROPUESTA ANTROPOLÓGICA PARA LA ACTUALIDAD,Colombia,Perseitas ,2346-1780,2021,9, ,187 - 211,10.21501/issn.2346-1780,"ANDRES ESCOBAR VASQUEZ, WILMAR EVELIO GIL VALENCIA, JONNY ALEXANDER GARCIA ECHEVERRI",90
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,"El libro de los signos (Jn 1,19-12,50): Aproximación a algunas de sus líneas de investigación",Colombia,Franciscanum. ,0120-1468,2021,63,1 ,1 - 28,10.21500/01201468.5223,JUAN SEBASTIAN HERNANDEZ VALENCIA,91
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,Zazen: práctica desde la vacuidad,México,Theoria. Revista Del Colegio De Filosofía  ,1665-6415,2020,39, ,59 - 71,10.22201/ffyl.16656415p.2020.39.1281,LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ,92
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,El diálogo filosófico como aventura y experiencia que cura,Ecuador,Sophía: Colección de Filosofía de la Educación ,1390-8626,2020,29, ,261 - 285,10.17163/soph.n29.2020.09,ANDRES ESCOBAR VASQUEZ,93
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,"Pedro Laín Entralgo, una visión filosófica del cuerpo: Yo soy mi cuerpo",Colombia,Discusiones Filosoficas ,0124-6127,2020,37,N/A ,115 - 142,10.17151/difil.2020.21.37.7,"JONNY ALEXANDER GARCIA ECHEVERRI, NICOLAS DUQUE NARANJO, CONRADO DE JESUS GIRALDO ZULUAGA",94
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Corto (Resumen),A propósito del nuevo número,Colombia,Revista Colombiana De Ciencias Sociales ,2216-1201,2020,11, ,385 - 387,10.21501/22161201.3630,ANDRES ALFREDO CASTRILLON CASTRILLON,95
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,Un Judío con muchos rostros: Exégesis y Teología en Filón de Alejandría,Colombia,Theologica Xaveriana ,2011-219X,2020,70, ,1 - 25,10.11144/javeriana,JUAN SEBASTIAN HERNANDEZ VALENCIA,96
FILOSOFIA Y TEOLOGIA CRITICA,Artículos publicados,Publicado en revista especializada,Las Secciones Discursivas en Mateo: estudio de su estructura y patrones literarios,Argentina,Revista Biblica ,0034-7078,2020,82,1-2 ,79 - 98,,JUAN SEBASTIAN HERNANDEZ VALENCIA,97
